INFO  - 2017-11-13 10:28:23.282; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.282; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.282; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-11-13 10:28:23.283; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-11-13 10:28:23.283; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.283; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2017-11-13 10:28:23.285; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-11-13 10:28:23.285; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-11-13 10:28:23.286; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.286; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.286; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.287; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.287; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.287; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
